CODIGO,TITULO,SINONIMOS,SINONIMOS_ENG
214520,Engenheiro químico (papel e celulose),"Engenheiro de celulose e papel, Engenheiro químico (celulose), Engenheiro químico (papel)","Cellulose and Paper Engineer, Chemical Engineer (Cellulose), Chemical Engineer (Paper)"
214525,Engenheiro químico (petróleo e borracha),"Engenheiro químico (borracha), Engenheiro químico (derivados de petróleo), Engenheiro químico (petróleo e petroquímica), Engenheiro químico (plástico)","Chemical Engineer (rubber), chemical engineer (petroleum derivatives), chemical engineer (oil and petrochemistry), chemical engineer (plastic)"
214530,Engenheiro químico (utilidades e meio ambiente),"Engenheiro químico (meio ambiente), Engenheiro químico (utilidades)","Chemical Engineer (Environment), Chemical Engineer (Utilities)"
214535,Tecnólogo em produção sulcroalcooleira,Tecnólogo em produção de açúcar e álcool,Technologist in Sugar and Alcohol Production
214540,Engenheiro têxtil,Engenheiro químico (têxtil),Chemical Engineer (textile)
214605,Engenheiro de materiais,"Engenheiro de materiais (cerâmica), Engenheiro de materiais (metais), Engenheiro de materiais (polímeros)","Materials Engineer (ceramic), Materials Engineer (metals), Materials Engineer (Polymers)"
214610,Engenheiro metalurgista,"Engenheiro metalúrgico, Engenheiro metalúrgico (produção de metais), Engenheiro metalúrgico (siderurgia), Engenheiro metalúrgico (tratamento de metais)","Metallurgical Engineer, Metallurgical Engineer (Metal Production), Metallurgical Engineer (Siderurgy), Metallurgical Engineer (Metal Treatment)"
214615,Tecnólogo em metalurgia,"Tecnólogo em processos metalúrgicos, Tecnólogo metalurgista","Technologist in Metallurgical Processes, Metallurgist Technologist"
214705,Engenheiro de minas,"Consultor técnico - na extração mineral, Engenheiro de beneficiamento de minério, Engenheiro de concentração, Engenheiro de minas (carvão), Engenheiro de mineração, Engenheiro de tratamento de minério, Engenheiro tuneleiro, Prospector de jazidas, Prospector de minerais, Prospector de minérios","Technical Consultant - In mineral extraction, ore beneficiation engineer, concentration engineer, mining engineer (charcoal), mining engineer, ore treatment engineer, tuning engineer, deposit prospector, mineral prospector, ores prospector"
214710,Engenheiro de minas (beneficiamento),,"the JSON object must be str, bytes or bytearray, not NoneType"
214715,Engenheiro de minas (lavra a céu aberto),,"the JSON object must be str, bytes or bytearray, not NoneType"
214720,Engenheiro de minas (lavra subterrânea),,"the JSON object must be str, bytes or bytearray, not NoneType"
214725,Engenheiro de minas (pesquisa mineral),,"the JSON object must be str, bytes or bytearray, not NoneType"
214730,Engenheiro de minas (planejamento),,"the JSON object must be str, bytes or bytearray, not NoneType"
214735,Engenheiro de minas (processo),,"the JSON object must be str, bytes or bytearray, not NoneType"
214740,Engenheiro de minas (projeto),,"the JSON object must be str, bytes or bytearray, not NoneType"
214745,Tecnólogo em petróleo e gás,,"the JSON object must be str, bytes or bytearray, not NoneType"
214750,Tecnólogo em rochas ornamentais,,"the JSON object must be str, bytes or bytearray, not NoneType"
214805,Engenheiro agrimensor,Agrimensor,Surveyor
214810,Engenheiro cartógrafo,"Cartógrafo, Engenheiro de geodésia e topografia","Cartographer, Geodesia Engineer and Topography"
214905,Engenheiro de produção,"Engenheiro de organização e métodos, Engenheiro de organização industrial, Engenheiro de planejamento industrial, Engenheiro de processamento, Engenheiro de processos","Organization and Methods Engineer, Industrial Organization Engineer, Industrial Planning Engineer, Processing Engineer, Process Engineer"
214910,Engenheiro de controle de qualidade,"Engenheiro de qualidade, Especialista em controle de qualidade e planejamento, Planejador de controle de qualidade","Quality Engineer, Quality Control and Planning Specialist, Quality Control Planner"
214915,Engenheiro de segurança do trabalho,Engenheiro de segurança industrial,Industrial security engineer
214920,Engenheiro de riscos,,"the JSON object must be str, bytes or bytearray, not NoneType"
214925,Engenheiro de tempos e movimentos,Engenheiro de análise de trabalho,Work Analysis Engineer
214930,Tecnólogo em produção industrial,"Tecnólogo em gestão dos processos produtivos do vestuário, Tecnólogo em produção de vestuário, Tecnólogo em produção gráfica, Tecnólogo em produção joalheira, Tecnólogo em produção moveleira, Tecnólogo gráfico","Technologist in Management of the Productive Processes of Clothing, Clothing Production Technologist, Technologist in Graphic Production, Technologist in Joaoline Production, Technologist in Furniture Production, Graphic Technologist"
214935,Tecnólogo em segurança do trabalho,,"the JSON object must be str, bytes or bytearray, not NoneType"
214940,Higienista ocupacional,Higienista industrial,Industrial hygienist
214945,Engenheiro de logistica,,"the JSON object must be str, bytes or bytearray, not NoneType"
214950,Ergonomista,,"the JSON object must be str, bytes or bytearray, not NoneType"
215105,Agente de manobra e docagem,,"the JSON object must be str, bytes or bytearray, not NoneType"
215110,Capitão de manobra da marinha mercante,,"the JSON object must be str, bytes or bytearray, not NoneType"
215115,Comandante da marinha mercante,"Capitão de cabotagem (comandante), Capitão de longo curso (comandante), Primeiro oficial de náutica (comandante), Segundo oficial de náutica (comandante)","Captain of Cabotage (Commander), Long Course Captain (Commander), First Nautical Officer (Commander), according to Nautical Officer (Commander)"
215120,Coordenador de operações de combate à poluição no meio aquaviário,,"the JSON object must be str, bytes or bytearray, not NoneType"
215125,Imediato da marinha mercante,"Capitão de cabotagem (imediato), Capitão de longo curso (imediato), Primeiro oficial de náutica (imediato), Segundo oficial de náutica (imediato)","Captain of Cabotage (Immediate), Long Course Captain (Immediate), First Nautical Officer (immediate), according to Nautical Officer (immediate)"
215130,Inspetor de terminal,,"the JSON object must be str, bytes or bytearray, not NoneType"
215135,Inspetor naval,,"the JSON object must be str, bytes or bytearray, not NoneType"
215140,Oficial de quarto de navegação da marinha mercante,"Capitão de cabotagem, Capitão de longo curso, Primeiro oficial de náutica, Segundo oficial de náutica","Captain of Cabotage, long -haul captain, first Nautical Officer, according to Nautical Officer"
215145,Prático de portos da marinha mercante,,"the JSON object must be str, bytes or bytearray, not NoneType"
215150,Vistoriador naval,,"the JSON object must be str, bytes or bytearray, not NoneType"
215205,Oficial superior de máquinas da marinha mercante,Chefe de máquinas da marinha mercante,Merchant Navy Machine Chief
215210,Primeiro oficial de máquinas da marinha mercante,Sub-chefe de máquinas da marinha mercante,Sub-chief of Merchant Navy Machines
215215,Segundo oficial de máquinas da marinha mercante,,"the JSON object must be str, bytes or bytearray, not NoneType"
215220,Superintendente técnico no transporte aquaviário,Inspetor de manutenção de máquinas aquaviárias,Waterway Maintenance Inspector
215305,Piloto de aeronaves,"Aviador civil, Piloto de avião, Piloto de helicóptero, Piloto de linha aérea regular","Civil Aviator, airplane pilot, helicopter pilot, regular airline pilot"
215310,Piloto de ensaios em vôo,Piloto de provas,Test pilot
215315,Instrutor de vôo,"Instrutor de pilotagem (aviação), Instrutor de pilotagem de aviões, Instrutor de pilotagem de helicópteros","Piloting instructor (aviation), aircraft piloting instructor, helicopter piloting instructor"
221105,Biólogo,"Biologista, Citologista, Hidrobiologista, Histologista, Microbiologista","Biologist, cytologist, hydrobiologist, histologist, microbiologist"
221110,Biólogo em meio ambiente e biodiversidade,,"the JSON object must be str, bytes or bytearray, not NoneType"
221115,Biólogo em saúde,,"the JSON object must be str, bytes or bytearray, not NoneType"
221205,Biomédico,,"the JSON object must be str, bytes or bytearray, not NoneType"
222105,Engenheiro agrícola,"Engenheiro de irrigação e drenagem, Engenheiro especialista em construções rurais, Engenheiro especialista em construções rurais e ambiência, Engenheiro especialista em mecanização agrícola, Engenheiro especialista em secagem e armazenagem de grãos, Tecnólogo de engenharia rural","Irrigation and Drainage Engineer, Rural Construction Engineer, Rural Construction and Ambience Specialist Engineer, Engineer Specialist in Agricultural Mechanization, Engineer Specialist in Grain Drying and Storage, Rural Engineering Technologist"
222110,Engenheiro agrônomo,"Agrônomo, Engenheiro agrônomo (agricultura), Engenheiro agrônomo (solos), Engenheiro horticultor","Agronomist, Agronomist (Agriculture), Agronomist (Soils), Horticker Engineer"
222115,Engenheiro de pesca,"Consultor técnico em aqüicultura, Consultor técnico em pesca, Engenheiro aqüicultor, Engenheiro especialista em tecnologia de pesca, Engenheiro especialista em tecnologia de pescado","Technical Consultant in Aquaculture, Technical Fishing Consultant, Aquacultor Engineer, Engineer Specialist in Fishing Technology, Engineer Specialist in Fish Technology"
222120,Engenheiro florestal,"Consultor técnico em exploração vegetal, Engenheiro de fauna e flora, Engenheiro especialista em preservação florestal, Engenheiro especialista em tecnologia de madeira, Engenheiro silvicultor, Reflorestador","Technical Consultant in Vegetable Exploration, Faun and Flora Engineer, Forest Preservation Specialist Engineer, Wood Technology Engineer, Silviculture Engineer, Reforestor"
222125,Tecnólogo em agronegócio,Tecnólogo em agronegócio digital,Technologist in Digital Agribusiness
222205,Engenheiro de alimentos,,"the JSON object must be str, bytes or bytearray, not NoneType"
222215,Tecnólogo em alimentos,"Tecnólogo em agroindústria, Tecnólogo em laticínios, Tecnólogo em processamento de carnes","Agro -industry technologist, dairy technologist, meat processing technologist"
223204,Cirurgião dentista - auditor,,"the JSON object must be str, bytes or bytearray, not NoneType"
223208,Cirurgião dentista - clínico geral,"Dentista, Odontologista, Odontólogo","Dentist, dentist, dentist"
223212,Cirurgião dentista - endodontista,"Canalista, Endodontólogo, Odontólogo-endodontista","Canalist, endodontologist, dentist-endodontist"
223216,Cirurgião dentista - epidemiologista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223220,Cirurgião dentista - estomatologista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223224,Cirurgião dentista - implantodontista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223228,Cirurgião dentista - odontogeriatra,"Dentista de idosos, Dentista de terceira idade","Elderly dentist, senior dentist"
223232,Cirurgião dentista - odontologista legal,,"the JSON object must be str, bytes or bytearray, not NoneType"
223236,Cirurgião dentista - odontopediatra,"Dentista de criança, Odontopediatra","Dentist of Children, Odontopediatrician"
223240,Cirurgião dentista - ortopedista e ortodontista,"Dentista de aparelho, Ortodontista, Ortodontólogo, Ortopedista maxilar","Dentist of device, orthodontist, ortho dentist, maxillary orthopedist"
223244,Cirurgião dentista - patologista bucal,,"the JSON object must be str, bytes or bytearray, not NoneType"
223248,Cirurgião dentista - periodontista,"Dentista de gengivas, Periodontista","Gum dentist, periodontist"
223252,Cirurgião dentista - protesiólogo bucomaxilofacial,Protesista bucomaxilofacial,Bucomaxillofacial
223256,Cirurgião dentista - protesista,"Odontólogo protesista, Protesista, Reabilitador oral","Protest dentist, Protest, oral rehabilitator"
223260,Cirurgião dentista - radiologista,Odontoradiologista,Dentist
223264,Cirurgião dentista - reabilitador oral,,"the JSON object must be str, bytes or bytearray, not NoneType"
223268,Cirurgião dentista - traumatologista bucomaxilofacial,"Cirurgião oral e maxilofacial, Odontólogo (cirurgia e traumatologia bucomaxilofacial)","Oral and Maxillofacial Surgeon, Dentist (Bucomaxillofacial Surgery and Traumatology)"
223272,Cirurgião dentista de saúde coletiva,"Dentista de saúde coletiva, Odontologista social, Odontólogo de saúde coletiva, Odontólogo de saúde pública","Collective Health Dentist, Social Dentist, Collective Health Dentist, Public Health Dentist"
223276,Cirurgião dentista - odontologia do trabalho,Odontologia ocupacional,Occupational Dentistry
223280,Cirurgião dentista - dentística,Dentística restauradora,Restorative Dentistry
223284,Cirurgião dentista - disfunção temporomandibular e dor orofacial,"Dentista da dor, Disfunção de atm, Disfunção e dor, Dtm/dof","Dentist of pain, dysfunction of atm, dysfunction and pain, TMD/DOF"
223288,Cirurgião dentista - odontologia para pacientes com necessidades especiais,"Dentista de cuidados especiais, Dentista de excepcionais, Dentista de pacientes com necessidades especiais, Dentista de pacientes especiais, Dentistas de deficientes","Special care dentist, dentist of exceptional, dentist of patients with special needs, dentist of special patients, dentists of disabled"
223293,Cirurgião-dentista da estratégia de saúde da família,,"the JSON object must be str, bytes or bytearray, not NoneType"
223305,Médico veterinário,"Médico veterinário de saúde pública, Médico veterinário sanitarista, Veterinário","Veterinarian of Public Health, Sanitary Veterinarian, Veterinarian"
223310,Zootecnista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223405,Farmacêutico,"Farmacêutico auditor, Farmacêutico de manipulação, Farmacêutico em atenção farmacêutica, Farmacêutico em biofarmácia, Farmacêutico em biossegurança, Farmacêutico em cosmetologia, Farmacêutico em farmácia comunitária, Farmacêutico em farmácia veterinária, Farmacêutico em farmacocinética clínica, Farmacêutico em farmacotécnica, Farmacêutico farmacologista, Farmacêutico magistral","Pharmaceutical Auditor, Manipulation Pharmacist, Pharmaceutical Pharmaceutical, Pharmacist in Biopharmacy, Biosafety Pharmacist, Cosmetology Pharmaceutical, Pharmacy in Community Pharmacy, Pharmaceutical Pharmacy, Pharmaceutical Clinical Pharmaceutical pharmacologist, master pharmacist"
223415,Farmacêutico analista clínico,"Farmacêutico analista clínico (bioquímico), Farmacêutico em análises clínicas, Farmacêutico em bacteriologia clínica, Farmacêutico em banco de materiais biológicos, Farmacêutico em banco de órgãos, tecidos e células, Farmacêutico em banco de sangue, Farmacêutico em banco de sêmem, Farmacêutico em biologia molecular, Farmacêutico em bioquímica clínica, Farmacêutico em citogenética, Farmacêutico em citologia clínica e diagnóstica, Farmacêutico em citopatologia, Farmacêutico em citoquímica, Farmacêutico em genética, Farmacêutico em hematologia clínica, Farmacêutico em hemoterapia, Farmacêutico em histocompatibilidade, Farmacêutico em histoquímica, Farmacêutico em imunocitoquímica, Farmacêutico em imunogenética, Farmacêutico em imunologia clínica, Farmacêutico em imunopatologia, Farmacêutico em micologia clínica, Farmacêutico em microbiologia clínica, Farmacêutico em parasitologia clínica, Farmacêutico em virologia clínica","Pharmaceutical Clinical Analyst (Biochemical), Pharmacist in Clinical Analysis, Pharmacist in Clinical Bacteriology, Pharmacist in Biological Materials, Pharmacist in Organ, Tissue and Cell Bank, Blood Bank Pharmacist, Pharmacist in Sêmem Bank, Pharmacist in Molecular Biology, Pharmacist in clinical biochemistry, pharmacist in cytogenetics, pharmacist in clinical and diagnostic cytology, pharmacist in cytopathology, pharmacist in cytochemistry, pharmacist in genetics, pharmacist in clinical hematology, pharmaceutical in hemotherapy, pharmaceutical in histocompatibility, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, pharmaceutical, Pharmacist in immunocytochemistry,Pharmacist in immunogenetics, pharmacist in clinical immunology, pharmacist in immunopathology, pharmacist in clinical mycology, pharmacist in clinical microbiology, pharmacist in clinical parasitology, pharmacist in clinical virology"
223420,Farmacêutico de alimentos,"Farmacêutico bromatologista, Farmacêutico em alimentos funcionais e nutracêuticos, Farmacêutico em análise de alimentos, Farmacêutico em banco de leite, Farmacêutico em controle de qualidade de alimentos, Farmacêutico em indústria de alimentos, Farmacêutico em microbiologia de alimentos, Farmacêutico em nutrição animal, Farmacêutico em pesquisa e desenvolvimento de alimentos, Farmacêutico em produção de alimentos","Pharmaceutical bromatologist, pharmacist in functional and nutraceutical foods, pharmacist in food analysis, milk bank pharmacist, food quality control pharmacist, food industry pharmacist, food microbiology pharmacist, animal nutrition pharmacist, research pharmacist, pharmacist in researchand food development, pharmacist in food production"
223425,Farmacêutico práticas integrativas e complementares,"Farmacêutico acupunturista, Farmacêutico antroposófico, Farmacêutico em plantas medicinais e fitoterapia, Farmacêutico em termalismo social/crenoterapia, Farmacêutico fitoterapeuta, Farmacêutico homeopata","Acupuncturist pharmaceutical, anthroposophic pharmacist, pharmacist in medicinal plants and phytotherapy, pharmacist in social thermalism/crenotherapy, pharmacist Phytotherapist, homeopathic pharmacist"
223430,Farmacêutico em saúde pública,"Farmacêutico em controle de qualidade e tratamento de água, Farmacêutico em controle de vetores e pragas urbanas, Farmacêutico em estratégia da saúde da família, Farmacêutico em farmácia pública, Farmacêutico em farmacoepidemiologia, Farmacêutico em farmacovigilância, Farmacêutico em gerenciamento dos resíduos em serviços de saúde, Farmacêutico em gestão ambiental, Farmacêutico em gestão de assistência farmacêutica, Farmacêutico em saúde ambiental, Farmacêutico em saúde ocupacional, Farmacêutico em segurança do trabalho, Farmacêutico em vigilância epidemiológica","Pharmacist in Quality Control and Water Treatment, Pharmacist in Urban Vector and Pest Control, Family Health Strategy Pharmacist, Public Pharmacy, Pharmaceutical in Pharmacoepidemiology, Pharmacovigilance Pharmacist, Pharmacist in Waste Management in Health Services,Pharmacist in Environmental Management, Pharmacist in Pharmaceutical Assistance Management, Environmental Health Pharmacist, Occupational Health Pharmacist, Pharmacist in Occupational Safety, Pharmacist in Epidemiological Surveillance"
223435,Farmacêutico industrial,"Farmacêutico em alfândega, Farmacêutico em armazenamento, Farmacêutico em biotecnologia industrial, Farmacêutico em controle de qualidade de insumos, medicamentos, cosméticos e produtos veterinários, Farmacêutico em distribuidora, Farmacêutico em domissanitários, Farmacêutico em indústria de cosméticos, Farmacêutico em indústria farmacêutica, Farmacêutico em indústria químico-farmacêutico, Farmacêutico em indústria veterinária, Farmacêutico em pesquisa e desenvolvimento de fármacos, Farmacêutico em transportadora, Farmacêutico logístico","Customs pharmaceutical, storage pharmacist, pharmacist in industrial biotechnology, quality control of inputs, drugs, cosmetics and veterinary products, distributor pharmacist, domissanitic pharmacist, pharmacist pharmaceutical industry, pharmaceutical industry, pharmaceutical industry, pharmaceutical industryChemical-pharmacist, pharmacist in veterinary industry, pharmacist in drug research and development, carrier pharmacist, logistics pharmacist"
223440,Farmacêutico toxicologista,"Farmacêutica criminalista, Farmacêutico em análise de solo, Farmacêutico em toxicologia ambiental, Farmacêutico em toxicologia analítica, Farmacêutico em toxicologia clínica, Farmacêutico em toxicologia de alimentos, Farmacêutico em toxicologia de cosméticos, Farmacêutico em toxicologia de emergência, Farmacêutico em toxicologia de medicamentos, Farmacêutico em toxicologia desportiva, Farmacêutico em toxicologia experimental, Farmacêutico em toxicologia forense, Farmacêutico em toxicologia ocupacional, Farmacêutico em toxicologia veterinária","Criminalist Pharmaceutical, Pharmacist in Soil Analysis, Pharmacist in Environmental Toxicology, Pharmacist in Analytical Toxicology, Pharmacist in Clinical Toxicology, Farmacetic in Food Toxicology, Cosmetics Toxicology, Emergency toxicology Pharmacist, Pharmaceutical in Medicology, Pharmaceuticals, Pharmaceuticals inSports toxicology, pharmacist in experimental toxicology, pharmacist in forensic toxicology, pharmacist in occupational toxicology, pharmacist in veterinary toxicology"
223445,Farmacêutico hospitalar e clínico,"Farmacêutico clínico, Farmacêutico clínico domiciliar, Farmacêutico clínico em cardiologia, Farmacêutico clínico em cuidados paliativos, Farmacêutico clínico em famarcocinética clinica, Farmacêutico clínico em farmacovigilância, Farmacêutico clínico em geriatria, Farmacêutico clínico em hematologia, Farmacêutico clínico em oncologia, Farmacêutico clínico em pediatria, Farmacêutico clínico em reumatologia, Farmacêutico clínico em terapia antineoplásica, Farmacêutico em assistência domiciliar, Farmacêutico em cuidados paliativos, Farmacêutico em gases e misturas de usos terapêuticos, Farmacêutico em homecare, Farmacêutico em homoderivados, Farmacêutico em nutrição parenteral, Farmacêutico em pesquisas clínicas, Farmacêutico em radioisótopos, Farmacêutico nuclear, Farmacêutico pré-hospitalar em serviços de urgência e emergência, Radiofarmacêutico","Clinical pharmacist, home clinical pharmacist, clinical pharmacist in cardiology, clinical pharmacist in palliative care, clinical pharmacist in clinical pharmacocynetics, clinical pharmacovigilance, clinical pharmacist in geriatrics, clinical pharmacist in hematology, clinical pharmacist in oncology, clinical pharmacist in peiatrics , PharmacistClinical in rheumatology, clinical pharmacist in antineoplastic therapy, home care pharmacist, pharmacist in palliative care, gases and mixtures of therapeutic uses, HomeCare pharmaceutical, pharmacist in homoderivates, pharmaceutical in Parenteral Nutrition, Pharmaceutical in Clinical Research, Radioisotopos Pharmaceutical Research,, Nuclear pharmacist, prehospital pharmacist in urgent and emergency services, radiopharmaceutical"
223505,Enfermeiro,,"the JSON object must be str, bytes or bytearray, not NoneType"
223510,Enfermeiro auditor,,"the JSON object must be str, bytes or bytearray, not NoneType"
223515,Enfermeiro de bordo,,"the JSON object must be str, bytes or bytearray, not NoneType"
223520,Enfermeiro de centro cirúrgico,Instrumentador cirúrgico (enfermeiro),Surgical Instrumenter (Nurse)
223525,Enfermeiro de terapia intensiva,Enfermeiro intensivista,Intensivist nurse
223530,Enfermeiro do trabalho,,"the JSON object must be str, bytes or bytearray, not NoneType"
223535,Enfermeiro nefrologista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223540,Enfermeiro neonatologista,Enfermeiro de berçário,Nurse
223545,Enfermeiro obstétrico,Enfermeira parteira,Midfielder
223550,Enfermeiro psiquiátrico,,"the JSON object must be str, bytes or bytearray, not NoneType"
223555,Enfermeiro puericultor e pediátrico,,"the JSON object must be str, bytes or bytearray, not NoneType"
223560,Enfermeiro sanitarista,Enfermeiro de saúde publica,Public health nurse
223565,Enfermeiro da estratégia de saúde da família,,"the JSON object must be str, bytes or bytearray, not NoneType"
223570,Perfusionista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223575,Obstetriz,Parteira profissional,Professional midwife
223580,Enfermeiro estomaterapeuta,,"the JSON object must be str, bytes or bytearray, not NoneType"
223585,Enfermeiro forense,,"the JSON object must be str, bytes or bytearray, not NoneType"
223605,Fisioterapeuta geral,,"the JSON object must be str, bytes or bytearray, not NoneType"
223625,Fisioterapeuta respiratória,,"the JSON object must be str, bytes or bytearray, not NoneType"
223630,Fisioterapeuta neurofuncional,,"the JSON object must be str, bytes or bytearray, not NoneType"
223635,Fisioterapeuta traumato-ortopédica funcional,,"the JSON object must be str, bytes or bytearray, not NoneType"
223640,Fisioterapeuta osteopata,,"the JSON object must be str, bytes or bytearray, not NoneType"
223645,Fisioterapeuta quiropraxista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223650,Fisioterapeuta acupunturista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223655,Fisioterapeuta esportivo,,"the JSON object must be str, bytes or bytearray, not NoneType"
223660,Fisioterapeuta  do trabalho,,"the JSON object must be str, bytes or bytearray, not NoneType"
223705,Dietista,"Auxiliar de dietista, Auxiliar de nutrição e dietética","Dietist assistant, nutrition assistant and dietary"
223710,Nutricionista,Nutricionista (saúde pública),Nutritionist (Public Health)
223810,Fonoaudiólogo geral,,"the JSON object must be str, bytes or bytearray, not NoneType"
223815,Fonoaudiólogo educacional,,"the JSON object must be str, bytes or bytearray, not NoneType"
223820,Fonoaudiólogo em audiologia,Audiologista (fonoaudiólogo),Audiologist (speech therapist)
223825,Fonoaudiólogo em disfagia,,"the JSON object must be str, bytes or bytearray, not NoneType"
223830,Fonoaudiólogo em linguagem,,"the JSON object must be str, bytes or bytearray, not NoneType"
223835,Fonoaudiólogo em motricidade orofacial,,"the JSON object must be str, bytes or bytearray, not NoneType"
223840,Fonoaudiólogo em saúde coletiva,,"the JSON object must be str, bytes or bytearray, not NoneType"
223845,Fonoaudiólogo em voz,,"the JSON object must be str, bytes or bytearray, not NoneType"
223905,Terapeuta ocupacional,,"the JSON object must be str, bytes or bytearray, not NoneType"
223910,Ortoptista,,"the JSON object must be str, bytes or bytearray, not NoneType"
223915,Psicomotricista,,"the JSON object must be str, bytes or bytearray, not NoneType"
224105,Avaliador físico,Orientador fisiocorporal,Physiocorporal advisor
224110,Ludomotricista,Cinesiólogo ludomotricista,Ludomotric kinesologist
224115,Preparador de atleta,,"the JSON object must be str, bytes or bytearray, not NoneType"
224120,Preparador físico,"Personal treanning, Preparador fisiocorporal","PERSONAL TREANNING, PHYSICORPORAL Preparer"
224125,Técnico de desporto individual e coletivo (exceto futebol),"Treinador assistente de modalidade esportiva, Treinador auxiliar de modalidade esportiva, Treinador esportivo","Sports assistant coach, auxiliary sports coach, sports coach"
224130,Técnico de laboratório e fiscalização desportiva,,"the JSON object must be str, bytes or bytearray, not NoneType"
224135,Treinador profissional de futebol,"Auxiliar técnico- no futebol, Auxiliar técnico- nos esportes, Coordenador de futebol, Professor de futebol","Technical Assistant- in football, assistant technician- in sports, soccer coordinator, soccer teacher"
224140,Profissional de educação física na saúde,,"the JSON object must be str, bytes or bytearray, not NoneType"
225103,Médico infectologista,"Infectologista, Médico de doenças infecciosas e parasitárias","Infectologist, doctor of infectious and parasitic diseases"
225105,Médico acupunturista,,"the JSON object must be str, bytes or bytearray, not NoneType"
225106,Médico legista,Legista,Cork
225109,Médico nefrologista,Nefrologista,Nephrologist
225110,Médico alergista e imunologista,"Alergista, Alergista e imunologista, Alergologista, Médico alergista, Médico imunologista","Allergist, allergist and immunologist, allergist allergist, immunologist doctor,"
225112,Médico neurologista,"Médico neuropediatra, Neurologista, Neuropediatra","Neuropediatrician, neurologist, neuropediatrician"
225115,Médico angiologista,Angiologista,Angiologist
225118,Médico nutrologista,"Médico nutrólogo, Nutrologista","Nutrologist, Nutrologist"
225120,Médico cardiologista,"Cardiologista, Médico do coração","Cardiologist, heart doctor"
225121,Médico oncologista clínico,"Cancerologista clínico, Médico cancerologista (clínico), Oncologista (clínico)","Clinical Cancerologist, Cancerologist (Clinical), Oncologist (Clinical)"
225122,Médico cancerologista pediátrico,,"the JSON object must be str, bytes or bytearray, not NoneType"
225124,Médico pediatra,"Hebeatra, Médico de criança, Neonatologista, Pediatra","Hebeatra, child doctor, neonatologist, pediatrician"
225125,Médico clínico,"Clínico geral, Médico clínico geral, Médico especialista em clínica médica, Médico especialista em medicina interna, Médico internista","General practitioner, general practitioner, specialist physician in medical clinic, specialist in internal medicine, internista doctor"
225127,Médico pneumologista,"Médico pneumotisiologista, Pneumologista, Pneumotisiologista, Tisiologista","Pneumotisiologist, Pulmonologist, Pneumotisiologist, Tisiologist"
225130,Médico de família e comunidade,"Médico comunitário, Médico de família","Community doctor, family doctor"
225133,Médico psiquiatra,"Médico psicanalista, Médico psicoterapeuta, Neuropsiquiatra, Psiquiatra","Psychoanalyst, psychotherapist, neuropsychiatrist, psychiatrist"
225135,Médico dermatologista,"Dermatologista, Hansenólogo","Dermatologist, Hansenologist"
225136,Médico reumatologista,Reumatologista,Rheumatologist
225139,Médico sanitarista,"Epidemiologista, Médico de saúde pública, Médico epidemiologista, Médico higienista","Epidemiologist, public health physician, epidemiologist, hygienist"
225140,Médico do trabalho,,"the JSON object must be str, bytes or bytearray, not NoneType"
225142,Médico da estratégia de saúde da família,,"the JSON object must be str, bytes or bytearray, not NoneType"
225145,Médico em medicina de tráfego,Médico do tráfego,Traffic doctor
225148,Médico anatomopatologista,,"the JSON object must be str, bytes or bytearray, not NoneType"
225150,Médico em medicina intensiva,"Ceteísta, Intensivista","Ceteatist, intensivist"
225151,Médico anestesiologista,"Anestesiologista, Anestesista, Médico anestesista","Anesthesiologist, anesthetist, anesthetist doctor"
225154,Médico antroposófico,,"the JSON object must be str, bytes or bytearray, not NoneType"
225155,Médico endocrinologista e metabologista,"Diabetólogo, Endocrinologista, Médico endocrinologista, Médico metabolista, Metabolista, Metabologista","Diabetologist, endocrinologist, endocrinologist, metabolist doctor, metabolist, metabologist,"
225160,Médico fisiatra,Fisiatra,Physiatry
225165,Médico gastroenterologista,Gastroenterologista,Gastroenterologist
225170,Médico generalista,"Médico alopata, Médico em medicina interna, Médico militar","Alopata doctor, doctor in internal medicine, military doctor"
225175,Médico geneticista,,"the JSON object must be str, bytes or bytearray, not NoneType"
225180,Médico geriatra,"Geriatra, Gerontologista, Gerontólogo","Geriatra, gerontologist, gerontologist"
225185,Médico hematologista,Hematologista,Hematologist
225195,Médico homeopata,,"the JSON object must be str, bytes or bytearray, not NoneType"
225203,Médico em cirurgia vascular,Cirurgião vascular,Vascular surgeon
225210,Médico cirurgião cardiovascular,Cirurgião cardiovascular,Cardiovascular surgeon
225215,Médico cirurgião de cabeça e pescoço,Cirurgião de cabeça e pescoço,Head and neck surgeon
225220,Médico cirurgião do aparelho digestivo,"Cirurgião do aparelho digestivo, Cirurgião gastroenterológico","Digestive surgeon, gastroenterological surgeon"
